"n" "m" "cc" "pl" "mod" "diam" "alpha"
"1" 500 5000 0.145728844040364 2.50222845691383 0.34930326 5 1.8219885401746
"2" 500 5000 0.159168660641895 2.50864128256513 0.37412366 5 1.83055518595436
"3" 500 5000 0.151426639798885 2.51151102204409 0.35870492 5 1.81573879328316
"4" 500 5000 0.148334914040689 2.50988376753507 0.35697596 5 1.82602350185935
"5" 500 5000 0.147859739807567 2.5082004008016 0.35618064 5 1.81376979099531
"6" 500 5000 0.150604617075852 2.50545891783567 0.36750558 6 1.81893057951886
"7" 500 5000 0.157974521954203 2.5037755511022 0.37459424 5 1.82190699065555
"8" 500 5000 0.14855443516622 2.49967935871743 0.35295042 5 1.82046627021707
"9" 500 5000 0.153637906330267 2.50222044088176 0.36463926 5 1.82373588928358
"10" 500 5000 0.151398141184055 2.50735070140281 0.36438624 5 1.81681193900398
"11" 500 5000 0.157056684730368 2.51357114228457 0.43161526 5 1.8155474837193
"12" 500 5000 0.158196193994231 2.51397995991984 0.43653406 4 1.81599288072207
"13" 500 5000 0.161285889975197 2.51920641282565 0.44151798 5 1.80552395980708
"14" 500 5000 0.157019704433498 2.51685700718707 0.4470136 5 1.80059050622469
"15" 500 5000 0.159944841898312 2.52086573146293 0.43901162 5 1.80276183313255
"16" 500 5000 0.153641739130435 2.50840881763527 0.43941134 5 1.81758519906898
"17" 500 5000 0.157657781127938 2.5183006012024 0.43451202 5 1.80316199644488
"18" 500 5000 0.157784722365943 2.51890981963928 0.4344365 5 1.8124767739141
"19" 500 5000 0.156540400599537 2.50193987975952 0.43175884 5 1.82262555058941
"20" 500 5000 0.152782183871582 2.5218997995992 0.4423684 5 1.80605072328325
"21" 500 5000 0.156350189807439 2.51458917835671 0.31968342 6 1.81381573652536
"22" 500 5000 0.148351756486371 2.51086172344689 0.29279832 5 1.81505364781155
"23" 500 5000 0.147670260461144 2.5056993987976 0.33359104 6 1.82435269575454
"24" 500 5000 0.156905780532388 2.51559118236473 0.3204247 5 1.81592771953229
"25" 500 5000 0.152479211183482 2.501250501002 0.28852106 5 1.81007879842141
"26" 500 5000 0.147753181336161 2.50345490981964 0.30676248 5 1.8164902613006
"27" 500 5000 0.15573781120332 2.50461723446894 0.3110531 5 1.83555686725796
